 veranda,走廊
 creep,悄悄爬行
 crawl,慢慢爬行
 climb,向上爬
 commit suicide,自杀
 pigeon,鸽子
 queer,奇怪的
 routine,循环；常规小事儿
 instead of,代替……
 stress,强调；压力
 in summary,总结来说，总体来说
 evolve,进化，发展
 random,随机的
 experimental,实验的
 toward,朝向
 emphasize,强调
 intention,目标、计划
 effort,努力
 theory,理论
 factor,因素
 sense,意识
 expectation,期待
 process,过程
 survey,调研
 questionaire,调研问卷
 assess,评测、评估
 item,项目，条目
 overall,全面的
 agreeableness,和谐，亲切
 be viewed as,被看作…
 apply for,申请
 involve,包括，卷入
 personality,人格
 trait,特质
 engage in doing sth,投入做某事
 behavio(u)r,行为；举止
 purpose,目标
 bottom-up,从下向上的
 approach,路径；策略
 level,层面；水平
 turn down,拒绝
 extrovert,外向的
 show off,炫耀
 uneasy,不安的
extremely,非常，极其
fairly,公正得；相当地
quite,十分，相当
rather,相当；宁愿
annoying,讨厌的
degree,程度
provide,提供
passenger,旅客
harbo(u)r,港口
extra,额外的；特别地
sign up,登记
in case of,如果处于……
emergency,紧急
exit,出口
entrance,入口
alarm,警报，警告
depart,出发
rather than,而不是
condition,状态
tear,撕裂；裂口；眼泪
sleeve,袖子
particular,特定的
receive,接收，收到
accept,接受
accompany,陪伴
available,可用的
participants,参与者
fill,填写
jealous,嫉妒的
ashamed,感到惭愧的；羞耻的
be fond of...,对……有兴趣的
be satisfied with...,对……满意的
depressed,压抑的，沮丧的
arrange,(v.)安排
arrangement,(n.)安排
based on...,基于……
evidence,证据
in order to do sth.,目的是…，为了做…
suitcase,行李箱
signpost,路标，指示牌
camp site,营地
preposition(prep.),介词
vehicle,交通工具
contain,包含
candidate,候选人
on strike,罢工
express,(v.)表达
expression,(n.)表达，表情
degree,温度，程度
drought,干旱
doubt,质疑
passive,被动的
while,尽管，然而
worth,值得
progress,进步
outlook,观点、态度
beyond,超越、越过
resource,资源
manage,设法完成，管理
manager,经理
repair,修理
applause,鼓掌
what if,假如……
discuss,探讨，讨论
comprehension,理解
pace,速度，步调
aggressive,有冲劲的，有攻击性的
regressive,倒退的，撤退的
prove,证明
oral,口语的，口头的
cusp,边界，当口儿
revolution,变革，革命
adjust,调整
cabin,车厢，机舱
